id;xorig;yorig;xdest;ydest;facper
331;309364;5036826;299190;5039787;45.408
332;307890;5042520;298892;5039514;32.888
333;307893;5039722;298730;5039859;26.928
334;307933;5039861;298550;5040080;29.058
335;307922;5039924;298735;5039893;25.899
336;307947;5039716;296234;5044877;26.250
337;314960;5043958;294326;5033207;37.686
338;303925;5041878;298391;5046445;23.443
339;304085;5042134;302745;5046454;39.213
340;306687;5044862;299951;5040226;24.300
341;306647;5044596;294771;5034548;25.154
342;306486;5044629;300142;5040019;20.686
343;309904;5047101;301430;5045768;45.828
344;308299;5051671;299316;5045555;32.526
345;312402;5050000;299185;5040230;26.636
346;307501;5040227;299591;5034976;22.757
347;307509;5039995;299634;5040985;28.385
348;308678;5036548;300162;5040109;25.362
349;309396;5037098;299194;5039879;28.909
350;305660;5032958;298611;5038488;19.385
351;305702;5033127;300003;5035923;27.344
352;306505;5036408;288707;5037516;27.768
353;306513;5036567;299374;5039673;17.344
354;310850;5040553;297539;5032694;19.133
355;304026;5043920;296763;5045216;34.127
356;303439;5043572;299036;5039497;40.798
357;305101;5040311;295233;5039561;14.350
358;306625;5033410;298747;5040142;21.269
359;306590;5033600;298542;5040173;28.927
360;306616;5033632;296027;5041021;33.562
361;305604;5046693;289209;5041759;25.167
362;305661;5046528;298099;5039916;25.704
363;303519;5040478;300282;5040524;18.308
364;308365;5038340;299107;5040150;21.317
365;306442;5043299;285444;5035543;37.041
366;305107;5037064;299317;5040051;18.730
367;305057;5037119;299354;5040220;21.067
368;311226;5038369;302644;5040557;20.594
369;307829;5049124;293737;5039679;39.456
370;307039;5036694;299057;5034993;20.294
371;306900;5036719;298979;5035019;21.858
372;314538;5038644;296576;5042083;20.310
373;308826;5048406;295327;5052008;23.531
374;309670;5033730;296890;5034850;22.646
375;305697;5037461;299584;5040492;26.883
376;305375;5034253;295580;5054594;28.747
377;303209;5042897;300705;5043675;44.280
378;305389;5044084;293573;5035867;22.297
379;312112;5038292;298641;5040808;32.418
380;312319;5038277;298671;5040857;37.848
381;308022;5033029;299109;5040110;23.160
382;309499;5044141;299398;5040492;32.333
383;310861;5038819;298040;5038865;23.695
384;310802;5038797;298705;5033394;23.148
385;309161;5047066;298627;5056145;28.213
386;305783;5035368;300512;5039685;33.185
387;308116;5039324;300706;5041122;23.974
388;320746;5044711;300556;5039657;23.430
389;304251;5041255;303456;5055160;25.468
390;307625;5039969;299265;5039471;26.031
391;304094;5043052;299098;5052175;17.401
392;318570;5044696;300076;5042630;24.810
393;307904;5046782;293590;5046139;35.740
394;308829;5034474;298029;5038957;29.768
395;309033;5034290;299097;5040350;30.155
396;308823;5034445;299893;5040190;23.840
397;309029;5034266;298835;5040345;35.323
398;305798;5037769;299344;5040241;34.568
399;312924;5040678;299639;5040075;44.025
400;312934;5040702;300485;5040101;38.917
401;302843;5042709;275851;5037012;27.379
402;305878;5034633;300655;5046465;21.659
403;305802;5034455;299668;5041413;35.522
404;309125;5038780;298609;5040794;22.349
405;306560;5037143;299703;5040992;32.955
406;309440;5049854;298715;5046094;29.857
407;309633;5049874;298744;5046306;34.907
408;308150;5037501;296480;5032716;30.963
409;308156;5037573;298353;5038136;35.354
410;308111;5037361;299603;5041547;35.765
411;308608;5035561;294964;5039380;18.924
412;308690;5041054;301206;5048459;24.080
413;307949;5033507;299401;5039680;37.226
414;310245;5039939;302820;5040575;22.844
415;307777;5043248;293085;5045109;33.469
416;307087;5038434;296127;5046968;28.210
417;307081;5038367;301320;5049327;29.367
418;304975;5039283;295945;5034002;52.197
419;306357;5037158;298727;5046952;37.397
420;305690;5037050;299854;5041005;45.511
421;312473;5038038;304806;5057681;38.490
422;310342;5039148;299809;5040120;25.068
423;310397;5038899;299316;5039791;23.770
424;305690;5043371;299505;5039519;29.930
425;304662;5038649;296099;5043098;18.100
426;305143;5046408;303230;5048981;27.287
427;308476;5045938;295249;5039975;25.839
428;307412;5039741;299000;5039581;36.516
429;308154;5052838;298638;5040198;29.746
430;310774;5051645;301789;5047696;19.424
431;310748;5051435;301310;5047772;28.959
432;307641;5043298;301194;5035044;23.006
433;307864;5043095;301229;5035113;19.835
434;312979;5038158;285202;5035638;22.223
435;307820;5034489;299319;5040351;37.596
436;307799;5034678;299021;5040613;39.547
437;309297;5042830;300234;5041475;30.171
438;303438;5040299;303549;5050133;26.897
439;303243;5042780;286941;5042924;17.900
440;303858;5042580;298512;5044274;28.785
441;306085;5042433;299082;5042370;27.042
442;306076;5042432;299032;5042293;26.447
443;306040;5042234;301160;5034893;26.486
444;307077;5039535;300637;5041058;35.823
445;307393;5035590;295481;5036471;24.662
446;305202;5041342;281230;5041414;21.051
447;307768;5033432;299619;5041138;29.068
448;307787;5033493;294510;5031059;46.493
449;307763;5033432;298209;5039019;56.891
450;306405;5037995;285245;5035347;32.425
451;307602;5049386;295454;5053305;42.807
452;306038;5041313;295347;5052007;30.787
453;308443;5053176;300357;5042332;45.650
